neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
1FktjjJY6rXwgViX42Qxk3J3v1v22Rxw8b,1,0.0049471259117126465,0.0049471259117126465,-0.0049471259117126465
15FkN73MjCXkfWnyWWw6phiTpwrUMRYXqF,2,0.004730602260679007,0.0023653011303395033,-0.0023653011303395033
1Q8QKMwnc4uSVWJrLrsXtjVtkpY5KS3vtj,1,0.004662953317165375,0.004662953317165375,0.004662953317165375
1PGzmqixR2MEJ4RFGCip8KKGzHNi2ypHKW,1,0.004659518599510193,0.004659518599510193,-0.004659518599510193
1JPVo8Jo4CT8LoPmDibjeumAsmVkvzGh4N,1,0.00462682731449604,0.00462682731449604,0.00462682731449604
184ppwACtrAwHtwEunitcDTJTGjtND9zSH,1,0.0046114325523376465,0.0046114325523376465,-0.0046114325523376465
31jz9j3EoVLXaZ16SLZr9dVuBMa7vqnj6H,1,0.004603207111358643,0.004603207111358643,-0.004603207111358643
16RFW3RRmufWGCAfXpXYMpXneLvasBCZo2,1,0.004421442747116089,0.004421442747116089,-0.004421442747116089
14SifL9W3TCMgaWrwrp1C1bSAsx3UX3FRC,1,0.00438988022506237,0.00438988022506237,-0.00438988022506237
35MU2FpsCNepSLi7dMHJMNDzkoqhzroBKm,1,0.004386089742183685,0.004386089742183685,-0.004386089742183685
1AFvN1pPBDdHJnpH5K1Y32hLFx3pxm3wDU,1,0.004372358322143555,0.004372358322143555,0.004372358322143555
1BksLjirFRrV4hCpnC5e5yRLbodMaaTJTq,1,0.004367470741271973,0.004367470741271973,0.004367470741271973
1LnNUMRzUmc7BuqW4q9Zgij1SsH9SU3TdJ,1,0.0041620731353759766,0.0041620731353759766,-0.0041620731353759766
1BRnBXZ9CZuDxTNfNNAkvoDSS18R6f7KFf,1,0.004113137722015381,0.004113137722015381,-0.004113137722015381
1BUAQKrvuXrpKCm2KgSyRxStisCZ6U9WDq,2,0.004100441932678223,0.0020502209663391113,-0.0020502209663391113
1ETyev2YxXFRRrF3Sb3y4JYKtEE3ftL293,1,0.004027187824249268,0.004027187824249268,-0.004027187824249268
1HL6tSg5mUrXik5kdFBni4UTrAuPRps3P6,2,0.003858489915728569,0.0019292449578642845,-0.0001542782410979271
1MBH6uJKhjbjFoHY9UwTKs59SNzY2HerFa,1,0.00377577543258667,0.00377577543258667,0.00377577543258667
15hUn7S97RCoo2A3f5ppy6MJZNToRKnW3R,1,0.0037418007850646973,0.0037418007850646973,-0.0037418007850646973
3EXkaZTkkc6E8rqQntbaJGYdtHoprGGtj4,1,0.0036062272265553474,0.0036062272265553474,0.0036062272265553474
1AtsM6CEXtPKyYAEr6r7MnVeUafPz93hc7,2,0.0035845041275024414,0.0017922520637512207,-0.0017922520637512207
